# pons bidding performance corpus v1
# seed=1; exact cells: 64 Pons + 64 BBA per depth 2/4/8/12
# id	origin	depth	category	relative-vulnerability	hand	auction
375	bba	4	representative	they	K9875.76.KT76.86	P 1D 1H 1N
376	bba	4	representative	we	AJ7.KT9865..Q742	2H 3D P P
377	bba	4	representative	both	K43.Q984.T6.8764	P 1N P 2H
378	bba	4	representative	both	T984.QJ94.K9.KT5	P 1H X XX
379	bba	4	representative	both	4.986.AK432.JT32	P 1S 2S 3S
380	bba	4	representative	both	A754.765.K862.J8	P P 1N 3C
381	bba	4	representative	none	AJT2.98.T842.K82	P 1D 1H P
382	bba	4	representative	none	JT985.Q.QJ4.T964	P 1C 1H X
383	bba	4	representative	none	A5.52.964.AK8654	1C 2C 2S P
384	bba	8	representative	none	KQ532.A92.T2.QJ9	1S P 1N P 2C P 3D P
385	bba	8	representative	none	A53.JT7.872.K985	P 1S P 1N P 2C P 2N
386	bba	8	representative	none	Q8743.AT4.A3.K85	1S P 2D P 2N P 3C P
387	bba	8	representative	none	J764.72.KT32.J98	P 3H P 5D P 5S P 6H
388	bba	8	representative	we	73.J53.A8763.JT2	P P 1S P 1N P 3C P
389	bba	8	representative	we	KJT985.832.KQ7.6	2S X P 3C P 3N P P
390	bba	8	representative	they	K52.A987653.K.93	1H X P 2C P 3C P 3D
391	bba	8	representative	we	A8.AQT7.732.Q742	1C 1S P P X P 2C P
392	bba	8	representative	they	Q62.JT74.KQ.AJ97	1C 1D 1S X XX 2D P 3D
393	bba	8	representative	we	854.A.KQJ975.KJ2	1D 1H P P 2D P P 2H
394	bba	8	representative	both	Q83.A7642.93.QJT	P 1C P 2H P 2S P 3N
395	bba	8	representative	none	82.KJ654.KT2.A53	1H 2S P P X P 3H 3S
396	bba	8	representative	none	T652.J9.852.AQ32	P 1N P 2D P 2H P 2N
397	bba	8	representative	none	K73.AKJ975.6.Q94	1H P 1N P 2H P 4H P
398	bba	8	representative	we	JT76.Q.QJ982.865	P 1S 2H 2S P P 3H 3S
399	bba	8	representative	they	AT92.T87.Q73.A52	P P P 1N P 2C P 2D
400	bba	8	representative	we	62.KJ5.QT98.A862	P 1S P 2C P 2H P 4S
401	bba	8	representative	they	AJ72.T7.KJT73.T8	P P 1D 2S 3D P 4S P
402	bba	8	representative	we	T.KJT92.K986.632	P P 1S P 1N P 2H P
403	bba	8	representative	they	A8.984.98765.954	P P 2C P 2D P 2N P
404	bba	8	representative	we	J652.KT54.K84.T7	P P P 2C P 3D P 4D
405	bba	8	representative	both	9753.T9.KT92.T72	P 1D P 2H P 2S P 3H
406	bba	8	representative	both	Q875.J986.T.QJ65	P P 1H X 2H P P 2S
407	bba	8	representative	none	43.KQ95.J73.J954	P P 1N P 2C P 2D P
408	bba	8	representative	none	.AQJ864.A863.J82	1H 2H 2S X 3D P 3S P
409	bba	8	representative	we	864.T983.52.AQ92	P 1H P 1S P 1N P 4H
410	bba	8	representative	we	J83.AQ3.QT42.AQJ	1N 2S P 2N P 3C P 3S
411	bba	8	representative	they	Q7653.86.K82.K75	P 1C P 1D P 1S P 3N
412	bba	8	representative	we	T765.A84.KQ6.J72	P 1C P 1H P 1N P P
413	bba	8	representative	both	T4.J5.A7642.KT43	P P 1H 1S P 1N P 2S
414	bba	8	representative	both	A732.Q953.A76.85	P 1N P 2H P 2S P 3N
415	bba	8	representative	none	JT73.KJ87..K9742	P 1D P 1N P 2D P P
416	bba	8	representative	none	AQT8.QT9.A32.Q83	1C 1H 3C 4H P P X P
417	bba	8	representative	none	KJ95.963.T653.T6	P 1D 3H 3S P 4C P 4S
418	bba	8	representative	they	AT83.K8.A3.AQJT4	1C X P 1D 1N P P 2D
419	bba	8	representative	we	AJ9875.K43.AKJ.3	1S P 1N P 3S P 4S P
420	bba	8	representative	they	AJ.T64.AJ62.A975	1D 1N P 2D P 2H 2S P
421	bba	8	representative	they	Q83.K9862.Q3.532	P P 1S 2N P 3D P P
422	bba	8	representative	we	AT9.93.AT74.Q765	P P 1N 2S 2N P 3C P
423	bba	8	representative	both	K43.Q984.T6.8764	P 1N P 2H P 2S X P
424	bba	8	representative	both	T984.QJ94.K9.KT5	P 1H X XX 2S P P 3H
425	bba	8	representative	none	JT985.Q.QJ4.T964	P 1C 1H X P 2D P 3D
426	bba	8	representative	none	A5.52.964.AK8654	1C 2C 2S P 3C P 3H P
427	bba	8	representative	none	KQT6.A7.AJT4.AKJ	2C P 2D P 2N P 3C P
428	bba	8	representative	we	K94.KQ94.J732.82	P 1C P 1H P 2C P 3C
429	bba	8	representative	they	J54.KT83.AQ83.JT	P P 1D P 1H P 2C P
430	bba	8	representative	we	AT432..AKQJ84.96	1D 1H P 2D 4S 5H 6D X
431	bba	8	representative	they	AKJ4.653.QT53.98	P P P 1D P 1H P 2N
432	bba	8	representative	they	7652.AJ54.9.A762	P 2D 3S P 4D P 4S P
433	bba	8	representative	we	Q976.AQ632.T7.A6	1H 2N 3S P 4C P 4S P
434	bba	8	representative	they	K2.J53.A97632.72	2D 2S 3D X P 4C P P
435	bba	8	representative	we	J8.KT965.J6.A532	P P 1S P 1N P 2H P
436	bba	8	representative	both	QT3.984.QJ.QT972	P 1D P 1H P 1N P P
437	bba	8	representative	both	A96.K5.KT92.J753	P 1H 2S 3H 3S 4H P P
438	bba	8	representative	both	AKQJ9.98.T98732.	1D P 1N P 2D P 3C P
439	bba	8	representative	none	AKJT953.9.A42.75	1S X P 2D 2S X P 3D
440	bba	8	representative	none	AKJ9.T97.7.Q9643	P 1H P 1N P 2D P 2N
441	bba	8	representative	none	J74.532.AQ93.Q52	P P 1C 1S P P 1N P
442	bba	8	representative	none	J8.K85.K873.AJ42	1D P 2D P 2N P 3D P
443	bba	8	representative	they	K5.AQT63.62.KJ76	1H X P 3S P 4S P P
444	bba	8	representative	we	842.AT9.Q9.AK654	1C 1S X P 2C 2D P 2S
445	bba	8	representative	they	KJ52.8.QJ8.AJ965	1C P 1D 3H P P X P
446	bba	8	representative	they	843.QJ97.KT5.A32	P 1N P 2C P 2D P 3N
447	bba	8	representative	we	8.K4.J843.AQ7653	P 1N P 2H P 3S P P
448	bba	12	representative	we	73.J53.A8763.JT2	P P 1S P 1N P 3C P 3S P 3N P
449	bba	12	representative	they	K52.A987653.K.93	1H X P 2C P 3C P 3D P 3N P P
450	bba	12	representative	we	A8.AQT7.732.Q742	1C 1S P P X P 2C P P 2D P 2S
451	bba	12	representative	we	854.A.KQJ975.KJ2	1D 1H P P 2D P P 2H X P 3D P
452	bba	12	representative	none	T652.J9.852.AQ32	P 1N P 2D P 2H P 2N P 3N P P
453	bba	12	representative	they	AT92.T87.Q73.A52	P P P 1N P 2C P 2D P 2N P P
454	bba	12	representative	they	AJ72.T7.KJT73.T8	P P 1D 2S 3D P 4S P 5C P 5D P
455	bba	12	representative	we	T.KJT92.K986.632	P P 1S P 1N P 2H P 3H P 4H P
456	bba	12	representative	we	J652.KT54.K84.T7	P P P 2C P 3D P 4D P 4H P 4N
457	bba	12	representative	both	9753.T9.KT92.T72	P 1D P 2H P 2S P 3H P 3N P P
458	bba	12	representative	both	Q875.J986.T.QJ65	P P 1H X 2H P P 2S 3H 3S 4H P
459	bba	12	representative	none	43.KQ95.J73.J954	P P 1N P 2C P 2D P 2N P 3N P
460	bba	12	representative	none	.AQJ864.A863.J82	1H 2H 2S X 3D P 3S P 3N P 4H P
461	bba	12	representative	both	T4.J5.A7642.KT43	P P 1H 1S P 1N P 2S P 3S P P
462	bba	12	representative	both	T984.QJ94.K9.KT5	P 1H X XX 2S P P 3H P P 3S P
463	bba	12	representative	none	A5.52.964.AK8654	1C 2C 2S P 3C P 3H P 4C P 5C P
464	bba	12	representative	none	KQT6.A7.AJT4.AKJ	2C P 2D P 2N P 3C P 3S P 3N P
465	bba	12	representative	they	J54.KT83.AQ83.JT	P P 1D P 1H P 2C P 3D P 3N P
466	bba	12	representative	we	J8.KT965.J6.A532	P P 1S P 1N P 2H P 3H P 4H P
467	bba	12	representative	both	A96.K5.KT92.J753	P 1H 2S 3H 3S 4H P P 4S 5H X P
468	bba	12	representative	none	AKJT953.9.A42.75	1S X P 2D 2S X P 3D 3S P 4D P
469	bba	12	representative	both	4.J85.KT874.J987	P 1S P 3D P 3H P 4C P 4H P 4S
470	bba	12	representative	both	T965.T8.84.JT986	P 1S 2H P P 3D 3H 4D P 5D P P
471	bba	12	representative	they	Q9532.T4.KJ98.A4	P 1D P 1H 1S 2H 2S 3H 3S P P 4H
472	bba	12	representative	they	A7653.6.A8764.AK	1S P 1N 3H P P 4C P 4H P 4S P
473	bba	12	representative	none	AT5.876.AJ932.82	P P P 1C 1D P P 2D P 2H P 3C
474	bba	12	representative	none	AJ2..983.KQJT973	1C 1H 2D 2H 3C 3H 4C 4H 5C X P P
475	bba	12	representative	we	T6.85.QT972.KJ96	P P 1D P 3D P 3H P 4D P 4H P
476	bba	12	representative	we	J.98653.T76.8654	P 1D X 1S P 2C P 4S P P X P
477	bba	12	representative	we	963.764.7543.742	P 1H P 1S P 1N P 4C P 4D P 6H
478	bba	12	representative	we	73.8652.KJ983.87	P P 1C 1S P P X XX 2D 3C P 3S
479	bba	12	representative	they	532.AT42.AKQ86.9	1D 1S P 2D X XX P 3S P 4S P P
480	bba	12	representative	we	.KQ6.AKQ984.KJ62	1D 3H P P 4D P 4H P 4N P 5H P
481	bba	12	representative	both	AQ95.T963.2.T852	P P 1S 2D 2S 2N 3S 4D 4S X P P
482	bba	12	representative	they	K86.AJ62.QT7.K62	1C P 2C P 2D P 4C P 4H P 4S P
483	bba	12	representative	they	A852.A753.AT.QT6	1C P 2H P 3H P 3S P 4D P 4H P
484	bba	12	representative	they	Q932.Q875.AQ952.	P 1C P P X 1S X P 3H P 4H P
485	bba	12	representative	both	KT.AKQ987.74.KJ4	1H P P 2D 3H 4D 4H P P 5D P P
486	bba	12	representative	none	Q96.J843.J84.732	P 1S P 1N P 2D P 2N P 3N P P
487	bba	12	representative	they	QJ9.JT653.J852.8	P 1C 1S 2C P 2H P 3C P 3N P P
488	bba	12	representative	they	J8.AT8.KT.KJT962	1C 1S X 2S P P X P 3C P 3D P
489	bba	12	representative	they	J.Q8.T863.Q97432	P 2C P 3D P 3S P 4N P 5D P 6S
490	bba	12	representative	both	6.972.753.AQJT64	P 1D P 1S 2C 4C P 4H P 4S P P
491	bba	12	representative	we	T985.964.T432.Q8	P P P 2N P 3C P 3D P 3N P P
492	bba	12	representative	we	K97.KJ953.Q93.A8	1H P 1S 2C X P 2S P P 3C 3S 4C
493	bba	12	representative	we	42.T82.KQ532.Q87	P 1H P 1S P 2S P 4D X P P 4S
494	bba	12	representative	none	K83.53.T8643.Q85	P P 1D 2D P 3H 4D P P 4H P P
495	bba	12	representative	we	94.987.AQ98764.4	3D P P X P 3S 4D 4S P P 5D P
496	bba	12	representative	both	J85.QT6.K832.643	P 1C P 1H P 2S P 4C P 4D P 4H
497	bba	12	representative	we	74.QJT82.AQ854.K	1H P 2D P 3D P 4D P 4N P 5S P
498	bba	12	representative	they	4.K982.QT875.AQ6	1D P 1S P 1N P 2C P 2D P 2N P
499	bba	12	representative	none	AQ98753.AKT..976	1S 2D P 2H 2S 3D P 3S X P P 4D
500	bba	12	representative	none	JT4.984.AK52.A84	1D P 1S 2C X P 2S 3C P P 3S P
501	bba	12	representative	none	JT76.QT532.Q74.A	P P 1C P 1H P 1S X 3S P 4S P
502	bba	12	representative	we	JT983.J43.T62.A6	P 1D P 2H P 3C P 3H P 4H P 6C
503	bba	12	representative	they	QJ65.AKQ.AKT32.2	1D P 2C P 2S P 4C P 4N P 5S P
504	bba	12	representative	both	K72.KJ82.43.K542	P P P 2C P 2D X 3C P 3H P 4C
505	bba	12	representative	both	QT5.J2.AQT.KQ764	1C 1H P 1S P 2H P 3H P 4H P P
506	bba	12	representative	we	T86.AKJ87.76.762	P P 2C P 2H P 2N P 4N P 6N P
507	bba	12	representative	they	T953.964.A843.76	P P P 1N P 2C P 2S P 4S P P
508	bba	12	representative	they	J43.T92.J42.9765	P 1C P 1H P 1S P 2D P 3H P 3N
509	bba	12	representative	they	K93.KJ82.74.Q865	P 1C 2S P P 3D P P 3S 4C P P
510	bba	12	representative	we	97.A743.Q842.QT9	P P P 1D P 1H P 1S P 2S P 3S
511	bba	12	representative	they	KQ532.Q852.KT7.J	1S P 2C P 2H P 4N P 5C P 5S P
